,nombre,serving_size,kcal,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
2618,"Yogures congelados, servidor suave, vainilla",100 g,159,5.6g,3.4g,2mg,87.00 mg,20.2 mg,6.00 mcg,0.00 mcg,0.287 mg,0.645 mg,0.224 mg,0.037 mg,212.00 IU,59.00 mcg,0.00 mcg,11.00 mcg,0.00 mcg,0.00 mcg,0,0.29 mcg,0.080 mg,0.8 mg,4.00 IU,0.11 mg,0.11 mg,0.3 mcg,143.00 mg,0.040 mg,0.30 mg,14.00 mg,0.012 mg,129.00 mg,211.00 mg,3.3 mcg,0.42 mg,4.00 g,0.129 g,0.136 g,0.285 g,0.035 g,0.786 g,0.080 g,0.102 g,0,0.228 g,0.368 g,0.298 g,0.094 g,0.181 g,0.364 g,0.204 g,0.169 g,0.053 g,0.181 g,0.252 g,24.20 g,0.0 g,24.00 g,0,0,0,0,0,0,5.60 g,3.420 g,1.590 g,0.210 g,2.00 mg,0.0 g,0.90 g,0.00 mg,0.00 mg,65.30 g
2619,"Salchicha de cerdo y pavo, precocido",100 g,342,31g,9.9g,72mg,876.00 mg,0,10.00 mcg,0.00 mcg,2.730 mg,0.490 mg,0.099 mg,0.089 mg,102.00 IU,21.00 mcg,11.00 mcg,11.00 mcg,11.00 mcg,71.00 mcg,0,0.58 mcg,0.124 mg,0.7 mg,0,0.52 mg,0.52 mg,5.7 mcg,74.00 mg,0.113 mg,1.30 mg,25.00 mg,0.239 mg,136.00 mg,230.00 mg,0.0 mcg,1.34 mg,12.05 g,0.718 g,0.804 g,1.177 g,0.140 g,1.942 g,0.786 g,0.362 g,0.182 g,0.523 g,0.912 g,0.914 g,0.226 g,0.493 g,0.613 g,0.545 g,0.475 g,0.089 g,0.371 g,0.593 g,3.63 g,0.0 g,0.00 g,0,0,0,0,0,0,30.64 g,9.881 g,13.054 g,4.504 g,72.00 mg,0.0 g,3.01 g,0.00 mg,0.00 mg,50.68 g
2626,"Sopa, condensada, enlatada, frijoles negros",100 g,91,1.3g,0.3g,0,970.00 mg,15.5 mg,66.00 mcg,0.00 mcg,0.410 mg,0.160 mg,0.039 mg,0.042 mg,445.00 IU,22.00 mcg,80.00 mcg,219.00 mcg,12.00 mcg,36.00 mcg,0,0.00 mcg,0.070 mg,0.2 mg,0,0.36 mg,0.36 mg,1.8 mcg,35.00 mg,0.300 mg,1.50 mg,33.00 mg,0.500 mg,75.00 mg,250.00 mg,0,1.10 mg,4.83 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.42 g,6.8 g,2.49 g,0,0,0,0,0,0,1.32 g,0.340 g,0.480 g,0.410 g,0.00 mg,0.0 g,3.10 g,0.00 mg,0.00 mg,75.33 g
2633,"Pollo, crudo, carne y piel, capones",100 g,234,17g,5g,75mg,45.00 mg,0,6.00 mcg,0.00 mcg,7.273 mg,0.965 mg,0.127 mg,0.064 mg,129.00 IU,37.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.34 mcg,0.360 mg,1.7 mg,0,0.32 mg,0.32 mg,2.4 mcg,11.00 mg,0.050 mg,1.09 mg,21.00 mg,0.020 mg,183.00 mg,217.00 mg,14.6 mcg,1.17 mg,18.77 g,1.094 g,1.181 g,1.690 g,0.251 g,2.781 g,1.181 g,0.562 g,0,0.954 g,1.386 g,1.553 g,0.507 g,0.739 g,0.897 g,0.666 g,0.786 g,0.213 g,0.615 g,0.923 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,17.07 g,4.950 g,7.310 g,3.620 g,75.00 mg,0.0 g,0.96 g,0.00 mg,0.00 mg,63.24 g
2636,"Bebidas, Cran Cherry, Ocean Spray",100 g,46,0g,,0,7.00 mg,0.0 mg,22.00 mcg,22.00 mcg,0.026 mg,0,0.000 mg,0.000 mg,33.00 IU,2.00 mcg,0.00 mcg,20.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,24.4 mg,0.00 IU,0.00 mg,0.00 mg,0.1 mcg,3.00 mg,0.009 mg,0.08 mg,1.00 mg,0.027 mg,2.00 mg,24.00 mg,0.0 mcg,0.03 mg,0.19 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76 g,0.6 g,12.20 g,6.10 g,0.00 g,5.80 g,0.00 g,0.00 g,0.30 g,0.00 g,0.001 g,0.001 g,0.001 g,0.00 mg,0.0 g,0.10 g,0.00 mg,0.00 mg,87.00 g
2642,"Papas, sin preparación, entera, congelada",100 g,78,0.2g,,0,25.00 mg,12.2 mg,13.00 mcg,0.00 mcg,1.680 mg,0.374 mg,0.031 mg,0.154 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,8.00 mcg,0,0.00 mcg,0.256 mg,14.2 mg,0.00 IU,0.01 mg,0.01 mg,1.9 mcg,8.00 mg,0.094 mg,1.01 mg,13.00 mg,0.223 mg,32.00 mg,346.00 mg,0.3 mcg,0.30 mg,2.38 g,0.073 g,0.109 g,0.581 g,0.030 g,0.399 g,0.071 g,0.052 g,0,0.097 g,0.143 g,0.144 g,0.038 g,0.106 g,0.086 g,0.103 g,0.086 g,0.037 g,0.088 g,0.134 g,17.47 g,1.2 g,0.78 g,0,0,0,0,0,0,0.16 g,0.041 g,0.003 g,0.067 g,0.00 mg,0.0 g,0.69 g,0.00 mg,0.00 mg,79.30 g
2646,"Ternera, sola de magro crudo, separable, costilla",100 g,120,3.9g,1.2g,83mg,95.00 mg,0,13.00 mcg,0.00 mcg,7.050 mg,1.190 mg,0.240 mg,0.070 mg,0.00 IU,0.00 mcg,0,0,0,0,0,1.36 mcg,0.440 mg,0.0 mg,0,0.21 mg,0.21 mg,0,14.00 mg,0.108 mg,0.88 mg,23.00 mg,0.029 mg,194.00 mg,306.00 mg,8.5 mcg,3.47 mg,19.97 g,1.188 g,1.175 g,1.723 g,0.225 g,3.159 g,1.026 g,0.725 g,0,0.984 g,1.590 g,1.646 g,0.466 g,0.806 g,0.834 g,0.749 g,0.873 g,0.202 g,0.637 g,1.104 g,0.00 g,0.0 g,0,0,0,0,0,0,0,3.89 g,1.170 g,1.250 g,0.400 g,83.00 mg,0,1.02 g,0,0,75.18 g
2650,mayonesa regular,100 g,680,75g,12g,42mg,635.00 mg,34.2 mg,5.00 mcg,0.00 mcg,0.000 mg,0.172 mg,0.019 mg,0.010 mg,65.00 IU,16.00 mcg,0.00 mcg,6.00 mcg,4.00 mcg,12.00 mcg,0,0.12 mcg,0.008 mg,0.0 mg,7.00 IU,3.28 mg,3.28 mg,163.0 mcg,8.00 mg,0.019 mg,0.21 mg,1.00 mg,0.007 mg,21.00 mg,20.00 mg,2.3 mcg,0.15 mg,0.96 g,0.061 g,0.072 g,0.094 g,0.023 g,0.143 g,0.037 g,0.026 g,0,0.065 g,0.095 g,0.072 g,0.035 g,0.057 g,0.044 g,0.088 g,0.055 g,0.017 g,0.046 g,0.074 g,0.57 g,0.0 g,0.57 g,0.05 g,0.00 g,0.04 g,0.00 g,0.00 g,0.48 g,74.85 g,11.703 g,16.843 g,44.690 g,42.00 mg,0.0 g,1.98 g,0.00 mg,0.00 mg,21.65 g
2651,"Crustáceos, crudo, norte de langosta",100 g,77,0.8g,0.2g,127mg,423.00 mg,70.3 mg,10.00 mcg,0.00 mcg,1.591 mg,1.449 mg,0.014 mg,0.020 mg,4.00 IU,1.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.25 mcg,0.104 mg,0.0 mg,1.00 IU,0.87 mg,0.87 mg,0.0 mcg,84.00 mg,1.349 mg,0.26 mg,38.00 mg,0.056 mg,161.00 mg,200.00 mg,63.6 mcg,3.53 mg,16.52 g,0.878 g,1.524 g,1.602 g,0.181 g,2.437 g,1.102 g,0.413 g,0,0.723 g,1.197 g,1.240 g,0.413 g,0.680 g,0.741 g,0.637 g,0.654 g,0.215 g,0.586 g,0.741 g,0.00 g,0.0 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.75 g,0.181 g,0.220 g,0.296 g,127.00 mg,0.0 g,1.88 g,0.00 mg,0.00 mg,80.95 g
2654,"Harina de maíz, blanca, enriquecida",100 g,370,1.8g,0.2g,0,7.00 mg,8.6 mg,209.00 mcg,180.00 mcg,4.968 mg,0.240 mg,0.382 mg,0.551 mg,3.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,1.00 mcg,5.00 mcg,0,0.00 mcg,0.182 mg,0.0 mg,0.00 IU,0.12 mg,0.12 mg,0.0 mcg,3.00 mg,0.076 mg,4.36 mg,32.00 mg,0.174 mg,99.00 mg,142.00 mg,10.5 mcg,0.66 mg,7.11 g,0.560 g,0.239 g,0.465 g,0.159 g,1.455 g,0.217 g,0.172 g,0.000 g,0.242 g,1.006 g,0.105 g,0.162 g,0.366 g,0.746 g,0.341 g,0.172 g,0.038 g,0.187 g,0.337 g,79.45 g,3.9 g,1.61 g,0.17 g,0.00 g,0.56 g,0.00 g,0.19 g,0.68 g,1.75 g,0.220 g,0.390 g,0.828 g,0.00 mg,0.0 g,0.51 g,0.00 mg,0.00 mg,11.18 g
2662,"Queso, sin grasa o sin grasa, cheddar",100 g,157,0g,,18mg,1000.00 mg,15.4 mg,11.00 mcg,0.00 mcg,0.051 mg,0,0.221 mg,0.012 mg,207.00 IU,60.00 mcg,0.00 mcg,4.00 mcg,0.00 mcg,0.00 mcg,0,0.49 mcg,0.045 mg,0.0 mg,5.00 IU,0.06 mg,0.06 mg,0.6 mcg,893.00 mg,0.021 mg,0.00 mg,16.00 mg,0,484.00 mg,66.00 mg,14.5 mcg,1.82 mg,32.14 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14 g,0.0 g,0.00 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,18.00 mg,0.0 g,3.64 g,0.00 mg,0.00 mg,57.00 g
2663,mandarinas crudas,100 g,53,0.3g,,0,2.00 mg,10.2 mg,16.00 mcg,0.00 mcg,0.376 mg,0.216 mg,0.036 mg,0.058 mg,681.00 IU,34.00 mcg,101.00 mcg,155.00 mcg,407.00 mcg,138.00 mcg,0,0.00 mcg,0.078 mg,26.7 mg,0.00 IU,0.20 mg,0.20 mg,0.0 mcg,37.00 mg,0.042 mg,0.15 mg,12.00 mg,0.039 mg,20.00 mg,166.00 mg,0.1 mcg,0.07 mg,0.81 g,0.028 g,0.068 g,0.129 g,0.002 g,0.061 g,0.019 g,0.011 g,0,0.017 g,0.028 g,0.032 g,0.002 g,0.018 g,0.074 g,0.033 g,0.016 g,0.002 g,0.015 g,0.021 g,13.34 g,1.8 g,10.58 g,2.40 g,0.00 g,2.13 g,0.00 g,0.00 g,6.05 g,0.31 g,0.039 g,0.060 g,0.065 g,0.00 mg,0.0 g,0.38 g,0.00 mg,0.00 mg,85.17 g
2666,"Queso, grasa reducida, mezcla, mexicano",100 g,282,19g,12g,62mg,776.00 mg,13.5 mg,20.00 mcg,0.00 mcg,0.060 mg,0,0.300 mg,0.030 mg,586.00 IU,155.00 mcg,0.00 mcg,50.00 mcg,0.00 mcg,0.00 mcg,0,1.66 mcg,0.084 mg,0.0 mg,14.00 IU,0.17 mg,0.17 mg,1.6 mcg,1146.00 mg,0.021 mg,0.13 mg,35.00 mg,0,583.00 mg,93.00 mg,15.5 mcg,4.30 mg,24.69 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41 g,0.0 g,0.56 g,0,0,0,0,0,0,19.40 g,11.580 g,5.020 g,0.750 g,62.00 mg,0.0 g,4.30 g,0.00 mg,0.00 mg,48.20 g
2667,"Queso, imitación, cheddar americano",100 g,239,14g,8.8g,36mg,1345.00 mg,0.0 mg,7.00 mcg,0.00 mcg,0.130 mg,0,0.430 mg,0.050 mg,430.00 IU,114.00 mcg,0.00 mcg,37.00 mcg,0.00 mcg,0.00 mcg,0,0.40 mcg,0.120 mg,0.0 mg,0.00 IU,0.27 mg,0.27 mg,2.7 mcg,562.00 mg,0.033 mg,0.33 mg,29.00 mg,0,712.00 mg,242.00 mg,15.2 mcg,2.59 mg,16.70 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.60 g,0.0 g,7.74 g,0,0,0,0,0,0,14.00 g,8.790 g,4.102 g,0.409 g,36.00 mg,0.0 g,4.60 g,0.00 mg,0.00 mg,53.10 g
2668,"Salsa, lista para servir, enlatada, carne de res",100 g,53,2.4g,1.2g,3mg,560.00 mg,6.3 mg,2.00 mcg,0.00 mcg,0.660 mg,0.020 mg,0.036 mg,0.032 mg,3.00 IU,1.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,1.00 mcg,0,0.10 mcg,0.010 mg,0.0 mg,0.00 IU,0.02 mg,0.02 mg,0.1 mcg,6.00 mg,0.100 mg,0.70 mg,2.00 mg,0.200 mg,30.00 mg,81.00 mg,1.0 mcg,1.00 mg,3.75 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81 g,0.4 g,0.21 g,0,0,0,0,0,0,2.36 g,1.153 g,0.962 g,0.080 g,3.00 mg,0.0 g,1.60 g,0.00 mg,0.00 mg,87.48 g
2669,"Encurtidos, bajo sodio, agrio, pepino",100 g,11,0.2g,0.1g,0,18.00 mg,3.6 mg,1.00 mcg,0.00 mcg,0.000 mg,0.038 mg,0.010 mg,0.000 mg,191.00 IU,10.00 mcg,20.00 mcg,81.00 mcg,47.00 mcg,43.00 mcg,0,0.00 mcg,0.009 mg,1.0 mg,0.00 IU,0.09 mg,0.09 mg,47.0 mcg,0.00 mg,0.085 mg,0.40 mg,4.00 mg,0.011 mg,14.00 mg,23.00 mg,0.0 mcg,0.02 mg,0.33 g,0.011 g,0.021 g,0.020 g,0.002 g,0.095 g,0.012 g,0.005 g,0,0.010 g,0.014 g,0.014 g,0.003 g,0.009 g,0.008 g,0.010 g,0.009 g,0.003 g,0.006 g,0.011 g,2.26 g,1.2 g,1.06 g,0,0,0,0,0,0,0.20 g,0.052 g,0.003 g,0.081 g,0.00 mg,0.0 g,3.13 g,0.00 mg,0.00 mg,94.08 g
2673,"Bebidas, cóctel de jugo de arándano",100 g,52,0.3g,,0,2.00 mg,0,0,0,0.025 mg,0.048 mg,0.000 mg,0.000 mg,0,0,0,0,0,0,0,0,0.000 mg,33.5 mg,0,0,0,0,3.00 mg,0.015 mg,0.04 mg,1.00 mg,0.060 mg,1.00 mg,19.00 mg,0,0.02 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25 g,0,11.41 g,5.17 g,0.00 g,5.68 g,0.00 g,0.00 g,0.55 g,0.34 g,0,0,0,0,0,0.03 g,0,0,87.39 g
2674,"Albaricoques, crudos, sulfurados, secos",100 g,241,0.5g,,0,10.00 mg,13.9 mg,10.00 mcg,0.00 mcg,2.589 mg,0.516 mg,0.074 mg,0.015 mg,3604.00 IU,180.00 mcg,0.00 mcg,2163.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.143 mg,1.0 mg,0.00 IU,4.33 mg,4.33 mg,3.1 mcg,55.00 mg,0.343 mg,2.66 mg,32.00 mg,0.235 mg,71.00 mg,1162.00 mg,2.2 mcg,0.39 mg,3.39 g,0.110 g,0.066 g,0.937 g,0.019 g,0.188 g,0.070 g,0.047 g,0,0.063 g,0.105 g,0.083 g,0.015 g,0.062 g,0.821 g,0.087 g,0.073 g,0.016 g,0.039 g,0.078 g,62.64 g,7.3 g,53.44 g,12.47 g,0.00 g,33.08 g,0.00 g,0.00 g,7.89 g,0.51 g,0.017 g,0.074 g,0.074 g,0.00 mg,0.0 g,2.57 g,0.00 mg,0.00 mg,30.89 g
2675,"Peras, drenado, jarabe pesado, enlatado",100 g,74,0.2g,,0,5.00 mg,1.3 mg,1.00 mcg,0.00 mcg,0.242 mg,0,0.024 mg,0.011 mg,8.00 IU,0.00 mcg,0.00 mcg,4.00 mcg,2.00 mcg,50.00 mcg,0,0.00 mcg,0.014 mg,1.1 mg,0.00 IU,0.12 mg,0.12 mg,0.3 mcg,6.00 mg,0.061 mg,0.22 mg,4.00 mg,0,8.00 mg,66.00 mg,0.1 mcg,0.08 mg,0.24 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.08 g,2.7 g,16.42 g,0,0,0,0,0,0,0.18 g,0.010 g,0.037 g,0.041 g,0.00 mg,0.0 g,0.15 g,0.00 mg,0.00 mg,80.35 g
2676,"Ciruelas, drenado, jarabe pesado, enlatado",100 g,89,0.1g,,0,19.00 mg,0.8 mg,3.00 mcg,0.00 mcg,0.291 mg,0,0.041 mg,0.017 mg,399.00 IU,20.00 mcg,0.00 mcg,219.00 mcg,40.00 mcg,73.00 mcg,0,0.00 mcg,0.028 mg,0.4 mg,0.00 IU,0.26 mg,0.26 mg,6.4 mcg,10.00 mg,0.046 mg,0.84 mg,5.00 mg,0,15.00 mg,93.00 mg,0.0 mcg,0.07 mg,0.44 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.12 g,1.5 g,21.58 g,0,0,0,0,0,0,0.14 g,0.011 g,0.090 g,0.030 g,0.00 mg,0.0 g,0.25 g,0.00 mg,0.00 mg,76.06 g
2677,"Queso, 1% de leche con leche, poca grasa",100 g,72,1g,0.6g,4mg,406.00 mg,17.5 mg,12.00 mcg,0.00 mcg,0.128 mg,0.215 mg,0.165 mg,0.021 mg,41.00 IU,11.00 mcg,0.00 mcg,3.00 mcg,0.00 mcg,0.00 mcg,0,0.63 mcg,0.068 mg,0.0 mg,0.00 IU,0.01 mg,0.01 mg,0.1 mcg,61.00 mg,0.028 mg,0.14 mg,5.00 mg,0.003 mg,134.00 mg,86.00 mg,9.0 mcg,0.38 mg,12.39 g,0.643 g,0.565 g,0.839 g,0.115 g,2.684 g,0.270 g,0.412 g,0,0.728 g,1.274 g,1.002 g,0.373 g,0.668 g,1.435 g,0.695 g,0.550 g,0.138 g,0.660 g,0.767 g,2.72 g,0.0 g,2.72 g,0,0,0,0,0,0,1.02 g,0.645 g,0.291 g,0.031 g,4.00 mg,0.0 g,1.39 g,0.00 mg,0.00 mg,82.48 g
2678,"Queso, 2% de leche con leche, poca grasa",100 g,81,2.3g,1.2g,12mg,308.00 mg,16.3 mg,8.00 mcg,0.00 mcg,0.103 mg,0.524 mg,0.251 mg,0.020 mg,225.00 IU,68.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,0.00 mcg,0,0.47 mcg,0.057 mg,0.0 mg,0.00 IU,0.08 mg,0.08 mg,0.0 mcg,111.00 mg,0.033 mg,0.13 mg,9.00 mg,0.015 mg,150.00 mg,125.00 mg,11.9 mcg,0.51 mg,10.45 g,0.409 g,0.467 g,0.963 g,0.062 g,2.446 g,0.209 g,0.306 g,0,0.556 g,1.049 g,0.878 g,0.253 g,0.543 g,1.155 g,0.601 g,0.470 g,0.138 g,0.568 g,0.703 g,4.76 g,0.0 g,4.00 g,0.00 g,0.12 g,0.00 g,3.87 g,0.00 g,0.00 g,2.27 g,1.235 g,0.516 g,0.083 g,12.00 mg,0.0 g,1.27 g,0.00 mg,0.00 mg,81.24 g
2684,Pescado bagre crudo,100 g,119,5.9g,1.3g,55mg,98.00 mg,65.0 mg,10.00 mcg,0.00 mcg,2.105 mg,0.670 mg,0.083 mg,0.020 mg,1.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,2.88 mcg,0.154 mg,0.0 mg,9.00 IU,0.81 mg,0.81 mg,2.1 mcg,8.00 mg,0.032 mg,0.23 mg,19.00 mg,0.015 mg,204.00 mg,302.00 mg,8.2 mcg,0.48 mg,15.23 g,0.860 g,0.951 g,1.487 g,0.162 g,2.164 g,0.769 g,0.334 g,0,0.678 g,1.153 g,1.386 g,0.445 g,0.607 g,0.566 g,0.577 g,0.688 g,0.182 g,0.506 g,0.738 g,0.00 g,0.0 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0,5.94 g,1.310 g,2.573 g,1.119 g,55.00 mg,0.0 g,1.05 g,0.00 mg,0.00 mg,79.06 g
2686,"Harina de maíz, blanca, desintegrada, masa",100 g,363,3.7g,0.5g,0,5.00 mg,8.6 mg,29.00 mcg,0.00 mcg,1.634 mg,0.192 mg,0.097 mg,0.223 mg,5.00 IU,0.00 mcg,0.00 mcg,2.00 mcg,2.00 mcg,6.00 mcg,0,0.00 mcg,0.475 mg,0.0 mg,0.00 IU,0.12 mg,0.12 mg,0.0 mcg,138.00 mg,0.209 mg,1.47 mg,93.00 mg,0.376 mg,231.00 mg,262.00 mg,10.5 mcg,1.80 mg,8.46 g,0.635 g,0.375 g,0.546 g,0.182 g,1.577 g,0.313 g,0.260 g,0,0.276 g,1.025 g,0.219 g,0.167 g,0.411 g,0.676 g,0.416 g,0.245 g,0.062 g,0.229 g,0.380 g,76.59 g,6.4 g,1.61 g,0,0,0,0,0,0,3.69 g,0.532 g,0.997 g,1.724 g,0.00 mg,0.0 g,1.48 g,0.00 mg,0.00 mg,9.79 g
2692,café instantáneo,100 g,3,0g,,0,7.00 mg,0,0.00 mcg,0.00 mcg,0.218 mg,0.001 mg,0.003 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0,0.00 mg,0.00 mg,0.0 mcg,4.00 mg,0.010 mg,0.05 mg,3.00 mg,0.012 mg,3.00 mg,35.00 mg,0.1 mcg,0.01 mg,0.09 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75 g,0.0 g,0.00 g,0,0,0,0,0,0,0.00 g,0.001 g,0.000 g,0.001 g,0.00 mg,0.0 g,0.17 g,21.00 mg,0.00 mg,98.94 g
2693,"Dulces, frutos blandos y cuadrados de nueces",100 g,390,9.5g,0.9g,0,131.00 mg,5.5 mg,12.00 mcg,0.00 mcg,0.178 mg,0.112 mg,0.039 mg,0.047 mg,3.00 IU,0.00 mcg,0.00 mcg,2.00 mcg,0.00 mcg,3.00 mcg,0,0.00 mcg,0.082 mg,0.2 mg,0.00 IU,0.10 mg,0.10 mg,0.4 mcg,17.00 mg,0.303 mg,0.93 mg,25.00 mg,0.539 mg,54.00 mg,82.00 mg,1.4 mcg,0.53 mg,2.31 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.81 g,2.4 g,45.95 g,0,0,0,0,0,0,9.52 g,0.898 g,1.297 g,6.840 g,0.00 mg,0.0 g,0.40 g,0.00 mg,0.00 mg,13.88 g
2694,"Sopa, caldo de pollo listo para servir",100 g,6,0.2g,,2mg,371.00 mg,1.0 mg,0.00 mcg,0.00 mcg,0.219 mg,0.000 mg,0.059 mg,0.021 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,0.00 mcg,0,0.02 mcg,0.000 mg,0.0 mg,0.00 IU,0.04 mg,0.04 mg,0.0 mcg,4.00 mg,0.015 mg,0.07 mg,1.00 mg,0.015 mg,4.00 mg,18.00 mg,0.4 mcg,0.07 mg,0.64 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44 g,0.0 g,0.43 g,0,0,0,0,0,0,0.21 g,0.013 g,0.019 g,0.009 g,2.00 mg,0.0 g,0.90 g,0.00 mg,0.00 mg,97.81 g
2698,"Ganso, crudo, solo carne, domesticado",100 g,161,7.1g,2.8g,84mg,87.00 mg,0,31.00 mcg,0.00 mcg,4.278 mg,1.973 mg,0.377 mg,0.129 mg,40.00 IU,12.00 mcg,0,0,0,0,0,0.49 mcg,0.640 mg,7.2 mg,0,0,0,0,13.00 mg,0.306 mg,2.57 mg,24.00 mg,0.024 mg,312.00 mg,420.00 mg,16.8 mcg,2.34 mg,22.75 g,1.441 g,1.452 g,2.228 g,0.349 g,3.560 g,1.274 g,0.601 g,0,1.168 g,1.922 g,1.947 g,0.615 g,0.954 g,1.117 g,0.979 g,0.972 g,0.317 g,0.866 g,1.190 g,0.00 g,0.0 g,0,0,0,0,0,0,0,7.13 g,2.790 g,1.850 g,0.900 g,84.00 mg,0,1.10 g,0,0,68.30 g
2699,"Tomates, guisado, cocido, maduro, rojo",100 g,79,2.7g,0.5g,0,455.00 mg,0,11.00 mcg,0.00 mcg,1.110 mg,0.256 mg,0.080 mg,0.108 mg,666.00 IU,33.00 mcg,0,0,0,0,0,0.00 mcg,0.086 mg,18.2 mg,0.00 IU,0,0,0,26.00 mg,0.095 mg,1.06 mg,15.00 mg,0.193 mg,38.00 mg,247.00 mg,1.2 mcg,0.18 mg,1.96 g,0.063 g,0.067 g,0.174 g,0.029 g,0.643 g,0.063 g,0.036 g,0,0.064 g,0.106 g,0.062 g,0.024 g,0.075 g,0.130 g,0.077 g,0.054 g,0.019 g,0.041 g,0.075 g,13.05 g,1.7 g,0,0,0,0,0,0,0,2.68 g,0.521 g,1.048 g,0.878 g,0.00 mg,0.0 g,1.68 g,0,0,80.63 g
2700,"Soja, semillas secas asadas, maduras",100 g,449,22g,3.1g,0,2.00 mg,0,205.00 mcg,0.00 mcg,1.056 mg,0.473 mg,0.755 mg,0.427 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.225 mg,4.6 mg,0.00 IU,0,0,37.0 mcg,140.00 mg,1.079 mg,3.95 mg,228.00 mg,2.184 mg,649.00 mg,1364.00 mg,19.3 mcg,4.77 mg,43.32 g,1.865 g,3.071 g,4.977 g,0.638 g,7.667 g,1.830 g,1.068 g,0,1.920 g,3.223 g,2.634 g,0.534 g,2.066 g,2.315 g,2.294 g,1.719 g,0.575 g,1.497 g,1.976 g,28.98 g,8.1 g,0,0,0,0,0,0,0,21.62 g,3.127 g,4.776 g,12.207 g,0.00 mg,0,5.28 g,0,0,0.80 g
2701,pan blanco de harina de trigo enriquecido,100 g,361,1.7g,0.2g,0,2.00 mg,10.4 mg,183.00 mcg,150.00 mcg,7.554 mg,0.438 mg,0.512 mg,0.812 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,79.00 mcg,0,0.00 mcg,0.037 mg,0.0 mg,0.00 IU,0.40 mg,0.40 mg,0.3 mcg,15.00 mg,0.182 mg,4.41 mg,25.00 mg,0.792 mg,97.00 mg,100.00 mg,39.7 mcg,0.85 mg,11.98 g,0.366 g,0.416 g,0.484 g,0.269 g,4.198 g,0.410 g,0.254 g,0,0.444 g,0.828 g,0.231 g,0.210 g,0.591 g,1.409 g,0.580 g,0.320 g,0.139 g,0.328 g,0.502 g,72.53 g,2.4 g,0.31 g,0,0,0,0,0,0,1.66 g,0.244 g,0.140 g,0.727 g,0.00 mg,0.0 g,0.47 g,0.00 mg,0.00 mg,13.36 g
