,nombre_del_platillo,ingredientes,kcal,carbohydrate,protein,total_fat,sugars,fiber
530,Gomegranado de gusto,"2 granadas, 3 cucharadas de aceite de oliva, 1 chalota, picado, 1 cucharada de jugo de lima, sal y pimienta al gusto, ½ taza de cilantro fresco, picado",128,13,1,8,11,1
531,Khoresht Fesenjaan (pollo con salsa de granada),"½ taza de aceite vegetal, 4 cebollas rojas medianas, piezas de pollo con hueso de 3 libras, 2 tazas de agua caliente o según sea necesario, 2 ½ tazas de jugo de granada, 4 tazas de nueces picadas, 2 cucharadas de cardamomo recién molido, 2 cucharadas de canela molidas de canela molidas , 1 calabaza mediana, sembrada y en cubos, ¼ cucharadita de azafrán, 1 cucharadita de sal o sabor",780,49,29,52,29,6
532,"Ensalada de caqui, granada y col rizada masajeada","½ taza de nueces crudas de macadamia, 2 cucharadas de jarabe de arce, dividido, 1 pizca de sal",362,41,9,18,13,6
533,Ensalada picante,"1 small potato, cut into cubes, ½ cup finely chopped cabbage, ¼ cup fresh pomegranate seeds , ½  carrot, cut into matchsticks, 1 tablespoon extra-virgin olive oil, 1 teaspoon lemon juice, 1 clove garlic, minced, ½ teaspoon salt, ¼ cucharadita de azúcar morena, ¼ cucharadita de copos de pimiento rojo",131,23,3,3,7,3
534,"Ensalada de quinua con brócoli, nueces y granada","2 tazas de agua, 1 taza de quinua, 1 cubo de alquiler de vegetales, 2 tazas de flores de brócoli, ½ taza de cebolla roja finamente cortada en cubitos, ½ taza de nueces de brasil finamente picadas, 1 granada grande, sembrada, 2 cucharadas de aceite de aceituna, o sabor, 1 cucharada de balas de cucharada balsámica balsámica vinagre, o para el gusto, 1 cucharadita de miel, o para el gusto, sal y pimienta negra molida al gusto",434,48,11,22,16,6
535,Ensalada saludable de manzana y col rizada,"10 onzas de col rizada, triturada, 2 manzanas de miel crujientes, en rodajas finas, 1 granada, semillas solo, ½ cucharadita de canela molida, aderezo: 2 cucharadas de aceite de oliva extra-virgin tomillo, pimienta negra molida al gusto, 1 hojuelas de pimiento rojo aplastado",278,42,5,10,26,5
536,Zanahorias glaseadas de granada,"1 cucharada de mantequilla, 3 tazas peladas, zanahorias en rodajas, sal y pimienta negra molida al gusto, ¼ de taza de jugo de naranja, ¼ de taza de jugo de granada",83,13,1,3,8,3
537,El mejor guacamole del mundo,"¼ de taza de cebolla picada, 2 limas, jugo, 2 pimientos de chile serrano, o al gusto, 2 limas, jugo, sal al gusto, 4 aguacates maduros, pelados y picotes, ¼ taza de cilantro fresco picado, ¼ de taza de semillas de granada, dividido, 1 sprig cilantro para guarnición",260,17,3,20,2,11
538,Persimmon Pan I,"2 huevos, 1 ½ tazas de harina para todo uso, ¾ taza de azúcar blanca, ½ cucharadita de sal, ½ taza de aceite vegetal, 1 cucharadita de canela molida, 1 taza de pulpa de caqui, ½ taza de nueces picadas, 1 cucharadita de soda, bicarbonato de soda, ½ taza de pasas",567,73,8,27,33,3
539,Persimmon Bread II,"1 taza de pulpa del caqui, 2 cucharaditas de bicarbonato de sodio, 3 tazas de azúcar blanca, 1 taza de aceite vegetal, 4 huevos, 1 ½ cucharaditas de canela molida, ½ cucharadita 1 taza de nueces picadas",297,41,4,13,25,1
540,Pastel de caqui fuyu,"½ taza de mantequilla sin sal, 3 cucharadas de harina para todo uso, ½ taza de azúcar blanca, ½ taza de azúcar morena empaquetada, ¼ de taza de jugo de limón, 1 cucharadita de canela molida, 1 (14.1 onzas) paquete de pastel de 9 pulgadas, 3 libras de perros Fuyu- pelado, con núcleo y en rodajas, 1 cucharada de azúcar de canela, o al gusto",562,87,4,22,21,4
541,Mermelada de caqui fácil,"12 onzas de la carne del caqui, cortado en trozos pequeños, 5 onzas de azúcar blanca, 3 onzas de piel del caqui, finamente en rodajas, 2 cucharadas de jugo de limón, ¾ onzas de limón, ralladura, finamente cortada",72,18,0,0,9,1
542,Pastel de caqui,"1 pastel de receta para un pastel de corteza individual de 9 pulgadas, 2 huevos, ½ cucharadita de canela molida, ½ taza de azúcar blanca, ¼ cucharadita de sal, 2 tazas de crema media y media, 1 taza de pulpa de caqui, 2 cucharadas de mantequilla, fundido, 1 teaspoon jugo de limon",335,36,5,19,13,1
543,Pudín de caqui pasado,"  Spray de cocción, 4 tazas de harina para todo uso, 1 cucharadita de bicarbonato de sodio, 1 cucharadita de hornear en polvo, ½ cucharadita de sal, 1 cucharadita de canela, 1 taza de azúcar blanco, 1 taza de azúcar morena, 3 huevos, batidos, 2 tazas de leche, 2 ½ tazas Pulpa del caqui, 6 cucharadas de mantequilla, derretida",444,85,8,8,37,2
544,Pastel de caqui,"  Spray de cocción antiadherente, 2 ½ tazas de harina para todo uso, 2 tazas de azúcar, 2 cucharaditas de bicarbonato de sodio, ½ cucharaditas de hornear, ½ cucharadita de sal, 2 tazas de pulpa de caqui, 1 taza de leche, 2 huevos grandes, 2 tonos extracto de vainilla",229,51,4,1,0,1
545,Galletas de caqui suaves,"2 tazas de harina para todo uso, 1 cucharadita de bicarbonato de sodio, 1 cucharadita de canela molida, ½ cucharadita de clavo molido, ½ cucharadita 1 taza de nueces picadas",97,12,1,5,6,1
546,Mantequilla de caqui especias,"20 caquis de fuyu maduros, pelados y picados gruesos, 1 limón mediano, jugo, ¼ de taza de jarabe de agave, 1 cucharadita de canela molida, ¼ cucharadita de clavos molidos",16,4,0,0,1,0
547,Cookies de caqui pasmonía,"½ taza de acortamiento, 1 taza de azúcar blanca, 1 huevo, ½ cucharadita de extracto de vainilla, 2 tazas de harina para todo uso, ½ cucharadita de bicarbonato de sodio, ½ cucharadita de hornear en polvo, ¼ cucharadita de sal, ½ cucharadita de clavos molidos, ½ teaspoon cannamona molida, ½ teaspoon Nuez moscada molida, 1 taza de pasas, 1 taza de nueces picadas, ¼ cucharadita de sal, 1 taza de pulpa de caqui",92,13,1,4,6,1
548,Muffins del caqui,"1 huevo, 1 taza de pulpa de caqui, ½ taza de aceite de canola, ? taza de leche, 2 tazas de harina para todo uso, ½ taza de nueces, ? taza de azúcar blanca, 1 cucharadita de sal, 1 cucharadita de horno en polvo, 1 cucharadita de canela molida de canela",249,29,4,13,6,1
549,Barras de caqui,"1 taza de pulpa del caqui, 1 cucharadita de bicarbonato de sodio, 1 huevo, batido, 1 taza de azúcar blanca, ½ taza de aceite vegetal, 1 taza de pasas, 1 ½ tazas de harina para todo uso, 1 cucharadita de canela molida , ¼ cucharadita de clavo molido, 1 taza de nueces picadas, 1 taza de azúcar de confitores, 2 cucharadas de jugo de limón",380,55,4,16,27,2
550,Galletas de avena del caqui,"1 ¾ tazas de avena enrollada, 1 ½ tazas de harina de uso múltiple de uso múltiple, ½ taza de bancos de hornear con sabor a caramelo inglés (como Heath®), 1 cucharadita de bicarbonato de sodio, 1 cucharadita de sal, ¼ cucharadita cucharadita de clavo molido, 1 taza de azúcar morena, ¾ taza de mantequilla, 1 huevo, 1 taza de puré de caqui, 1 cucharadita de vainilla",180,25,2,8,9,1
551,Muffins de canela de plátano y caqui,"2 plátanos maduros, pelados, 1 caquis de hachiya, pelado, ¾ taza de azúcar blanca, ? taza de aceite de coco, derretido, 1 huevo, 2 cucharaditas de extracto de vainilla, 1 ½ tazas de harina de uso múltiple, 1 ½ buque de casco, ½ cospo de sal, sal, sal,, 1 cucharada de azúcar blanco, 1 ½ cucharaditas de canela molida",385,62,5,13,33,2
552,Tarta de queso del caqui,"2 tazas de nueces picadas, ? taza de azúcar morena, 3 cucharadas de mantequilla derretida, 2 tazas de caquis de puré, 3 (8 onzas) paquetes de queso crema, suavizado, 1 ¼ tazas de azúcar blanca, ¾ taza de crema agria, ¼ cucharadita de canela molida, ½ teaspoon molido jengibre, 6 huevos, 1 ¼ tazas de crema agria, 3 cucharadas de azúcar blanco, 1 cucharadita de extracto de vainilla",640,49,12,44,31,2
553,Ensalada de espinacas y caqui con queso de cabra y granada,"1 caqui fuyu, pelado y con núcleo, 2 tazas de espinacas picadas, 3 cucharadas de semillas de granada, 2 onzas de queso de cabra, desmenuzado, 1 cucharada de almendras en rodajas",300,12,9,24,4,2
554,Sopa de calabaza con caqui con caqui,"2 cucharadas de aceite de oliva, 1 cebolla, finamente picada, 2 zanahorias, peladas y en cubos, 1 hojas de laurel, 2 libras de calabaza, pelada, sembrada y en cubos, ½ taza de vino blanco seco, 4 tazas de caldo de pollo, 2 caquis, a cortes, 1 cucharada de vinagre de vino blanco, 1 sal pizca y pimienta negra recién molida al gusto",161,26,3,5,6,4
555,Galletas de chispas de chocolate caqui,"1 taza de mantequilla, suavizado, 1 taza de azúcar blanca, 3 caquis de Hachiya, pulpa extraída, 1 huevo, 1 ½ cucharaditas de extracto de vainilla, 3 tazas de harina de uso múltiple, 1 cucharadita de bicarbonato de sodio, 1 cucharadita de sal, 2 ½ tazas de chips de chocolate",194,24,2,10,13,1
556,Pavlova con frutas de invierno,"4 claras de huevo, a temperatura ambiente, ¾ taza de azúcar blanca, ¼ de taza de azúcar superfino, 1 ½ cucharaditas de maíz, ½ cucharadita de agua de flor de naranja (opcional), ½ cucharadita de vinagre blanco",1025,133,13,49,111,7
557,Compota de persrimmón de manzana jengibre,"5 caquis de fuyu demasiado maduros, puré, 1 manzana de gran abuelita, pelada y cortada en picada, 1 cucharada de azúcar morena, 2 cucharaditas de canela molida, jengibre recién rallado, ½ limón, jugo, ½ cucharadita de zest de limón",72,18,0,0,6,2
558,Pastel al revés del caqui,"3 cucharadas de margarina, ¼ de taza de azúcar morena, 4 caquis maduros, pelados y en rodajas",533,81,5,21,32,3
559,Pudín de caqui de Nonnie,"2 tazas de pulpa del caqui, 2 tazas de azúcar blanca, 2 huevos, batidas, 1 cucharadita de bicarbonato de sodio, 1 taza de harina de uso múltiple, 1 sal pizca, 1 cucharadita de hornear en polvo, 1 cucharadita de canela molida , 1 cucharada de miel, 4 cucharadas de mantequilla, derretida",347,67,4,7,45,1
560,Mermelada del caqui,"5 tazas en puré de caquis, 3 tazas de azúcar blanca, ¼ de taza de jugo de limón fresco, ½ cucharadita de ralladura de naranja rallada, 1 nuez moscada",84,21,0,0,13,0
561,Ensalada de Fuyu Persimmon y Burrata Caprese,"1 caqui fuyu, tallo retirado y cortado en rondas, 1 (4 onzas) Bola de queso burrata, 1 ½ cucharaditas de esmalte balsámico, 1 ½ cucharaditas de aceite de oliva extra-virgin, 5 hojas frescas, o más al gusto pimienta",200,6,8,16,0,0
562,Pan de caqui de arándano,"1 ½ tazas de pulpa de caqui mado hachiya, 2 cucharaditas de bicarbonato de sodio, 2 tazas de azúcar morena, 4 huevos, ? taza de aceite vegetal, 1 ½ cucharaditas de canela molida, ½ cucharadita arándanos frescos",237,36,3,9,15,1
563,Pudín del caqui de Gram,"1 huevo, 1 taza de pulpa del caqui, ½ taza de leche condensada endulzada enlatada, 1 cucharadita de extracto de vainilla, 1 cucharada de mantequilla derretida, 1 taza de azúcar blanca, 1 taza de harina de uso múltiple, 2 cucharaditas de bicarbonato de sodio, ½ cucharadita de sal, xpoon cannamon de canalina molida",564,115,8,8,71,2
564,Chili de curry de la abuela Franny Franny,"1 pound ground beef, or more to taste, 1  yellow onion, chopped, 1 (15 ounce) can seasoned diced tomatoes, 1 (15 ounce) can diced tomatoes with jalapeno peppers, 1 (15 ounce) can pinto beans, 1 (15 onza) pueden frijoles de riñón, 1 (15 onzas) de frijoles negros, 1 (15 onzas) caldo de pollo, 1 (15 onzas) puede chile con frijoles (opcionales), copa de coco picante y salsa de vindaloo de chile (como Maya Kaimal ®), ? taza de salsa de tomate, 2 cucharadas de pasta de tomate, 1 caqui maduro, picado, ½ cucharadita de sal, ½ cucharadita de copos de pimiento rojo, ½ cucharadita de comino molido, ½ cucharadita de chile en polvo",291,30,18,11,3,10
565,Focaccia de caqui-burrata asado,"1 pan plano de focaccia de 9 pulgadas precocido, 1 caqui fuyu, pelado y cortado en rondas de 1/4 de pulgada, 4 cucharaditas de aceite de oliva, dividido, ½ cucharadita de sal, 2 ramitas de romero fresco, hojas despojadas, ½ taza de queso burrata queso queso burrata",867,118,29,31,2,6
566,Galletas de caqui iv,"4 tazas de harina para todo uso, 2 cucharaditas de bicarbonato de sodio, 1 cucharadita de canela molida, 1 cucharadita de jengibre molido, 1 taza de mantequilla, 2 tazas de azúcar blanca, 2 huevos, 2 tazas Pulpa de caqui",166,26,2,6,11,1
567,Persimmon Bread III,"2 tazas de azúcar blanca, 1 ½ tazas de harina de trigo, 1 ½ tazas de harina para todo uso, ½ taza de avena, ½ cucharadita de sal, 1 cucharadita de canela molida, ½ cucharadita refresco, 2 tazas de pulpa de caqui mado hachiya, ½ taza de puré de manzana, ½ taza de aceite vegetal, 3 huevos",214,37,3,6,17,1
568,Pan de levadura de caza de caza,"½ taza de pulpa de caqui muy madura, 9 cucharadas de agua, 2 cucharadas de mantequilla, 1 ½ cucharaditas de azúcar blanca, 1 ½ cucharaditas de sal, 2 tazas de harina de pan, 1 taza de harina de trigo integral, 2 cucharadas de trigo germen, 1 cucharadita de canela molida, 2 ½ tejidos levadura seca activa, ? pasas de taza",171,31,5,3,1,2
569,Pastel de caqui de plato profundo,"¼ taza de azúcar morena clara, empaquetada, 1 cucharada de canela molida, 1 cucharada de maíz, ? cucharadita de sal marina, 6 tazas de caquis de fuyu, pelado y en rodajas finas, galletas de 10 graham, trituradas, ¼ de taza de mantequilla, derretido",367,74,2,7,9,3
570,Galletas de pasas de caqui,"2 tazas de azúcar blanca, 1 taza de acortamiento, 2 huevos, 4 tazas de harina para todo uso, 1 cucharadita de sal, 2 cucharaditas de bicarbonato de sodio, 2 cucharaditas de canela molida, 2 cucharaditas nueces picadas",154,23,2,6,7,1
571,Pudín de caqui de Indiana de Harriet Davis,"1 ½ tazas de suero de leche, 1 cucharadita de bicarbonato de sodio, 1 ½ tazas de harina para todo uso, 1 cucharadita de horno en polvo, ½ cucharadita de canela molida, ? cucharadita de sal, 2 tazas de pulpa, 2 tazas de azúcar blanca, 2 huevos, bien batidos, ¼ taza crema batida pesada, ¼ de taza de mantequilla, derretida",319,60,4,7,35,1
572,Pastel de budín de caqui,"2 cucharadas de mantequilla, derretida, 2 tazas de pulpa del caqui, 2 tazas de azúcar blanca, 3 huevos, ligeramente batidos, 1 ¼ tazas de suero de leche, 1 cucharadita de bicarbonato de sodio, 2 tazas de harina para todo uso, 1 cucharadita de hornear polvo de hornear cucharadita de sal, ½ cucharadita de extracto de vainilla",466,96,7,6,52,2
573,Pan de arándano navideño,"1 ½ tazas de harina para todo uso, 1 cucharada de canela molida, 1 cucharadita de bicarbonato de sodio, ½ cucharadita de sal, ¼ cucharadita de jengibre molido o más al gusto, ¼ cucharadita arándanos secos, 2 huevos grandes, ¾ taza de azúcar morena clara, ½ taza de aceite vegetal, 4 caquis nos maduros, picados en trozos pequeños",278,34,4,14,17,2
574,Pastel de caqui paleo,"½ cucharadita de aceite de oliva, 3 tazas de nueces, 20 fechas picadas, ¼ taza de néctar de agave, 6 caquis mados, 2 cucharadas de nueces picadas, 1 cucharadita de canela molida",443,36,5,31,22,7
575,"Ensalada de caqui, granada y col rizada masajeada","½ taza de nueces crudas de macadamia, 2 cucharadas de jarabe de arce, dividido, 1 pizca de sal",362,41,9,18,13,6
576,Galletas de caqui de tía,"1 ½ tazas de pulpa del caqui, 1 cucharadita de bicarbonato de sodio, ½ taza de mantequilla, ablandado, 1 taza de azúcar blanca, 2 tazas de harina de uso múltiple, 1 cucharadita de canela molida, 1 cucharadita de clavos molidos, 1 cucharadita , 1 taza de nueces picadas, 1 taza de pasas doradas",188,27,2,8,17,1
577,Persimmon Cookies III,"½ taza de acortamiento, 1 taza de azúcar blanca, 1 huevo, 1 taza de pulpa de caquis, 1 taza de harina para todo uso, ½ cucharadita de polvo de hornear, ½ cucharadita de bicarbonato de sodio, ½ cucharadita de canela molida pasas, ½ taza de nueces picadas",42,6,0,2,3,0
578,Pudín del caqui de Sandra,"1 taza de pulpa del caqui, 1 huevo, batido, 1 ¼ tazas de azúcar blanca, 1 taza de harina para todo uso, 1 ¼ tazas de leche, ¼ cucharadita de bicarbonato de sodio, 1 cucharadita de hornear en polvo, ½ cucharadita de canela molida, ¼ cucharadita de mantequilla , Derretido",607,110,8,15,66,2
579,Chutney de caqui picante,"1 ½ tazas de vinagre de sidra, 1 taza de cebolla picada, 1 manzana grande de abuelita, pelada, con núcleo y picada, 1 taza de pasas doradas, ¾ taza de azúcar blanca, ¼ de taza de jugo de limón, 1 pimiento de chile verde, sembrada y picada, 1 cucharada de picada Raíz de jengibre fresca, 1 cucharada de limón, 1 cucharadita de semilla de cilantro molido, ? Cuques molidos de cucharadita, 4 caquis Fuyu, pelados y picados",44,11,0,0,8,1
580,Dulces galletas junto al fuego,"2 tazas de harina para todo uso, ½ taza de harina de pastel, 1 cucharadita de canela molida, 1 cucharadita de jengibre molido, ½ cucharadita de bicarbonato de sodio, ¼ cucharadita de sal, ½ taza de mantequilla sin sal, 1 taza de azúcar blanca, 1 cucharada de limón zest, 2 perlones maduros, 2 perlones, 2 perlones, 2 perlones, 2 perlones, 2 perlones, 2 perlones, 2 perlones, 2 perlones, 2 perlones, 2 perlones, 2 perlones, 2 perlones, 2 personmones, 2 perlones, 2 perlones, 2 perlones, 2 perlones, 2 personmones maduros, permonía, 2 perlones, 2 perlones, 2 personmones, 2 personmones, 2 personmones, 2 personmones, 2 personmones maduros, 2 perlones, 2. puré, 1 huevo, ¼ taza de azúcar de confitores",190,31,3,6,14,1
581,Pan de chispas de chocolate de plátano,"2 tazas de harina para todo uso, 1 cucharadita de hornear en polvo, 1 cucharadita de bicarbonato de sodio, 1 cucharadita de sal, 3 plátanos maduros, puré, 1 cucharada de leche, 1 cucharadita de canela molida , 2 huevos grandes, 1 taza de chips de chocolate semidulce",396,58,5,16,34,3
582,Pan de plátano fácil de Joy's Easy,"3 plátanos maduros, puré, 1 taza de azúcar blanca, 1 huevo, ¼ taza de mantequilla derretida, 1 ½ tazas de harina para todo uso, 1 cucharadita de bicarbonato de sodio, 1 cucharadita de sal",225,42,3,5,24,1
583,Muffins de banana,"1 ½ tazas de harina para todo uso, 1 cucharadita de polvo de hornear, 1 cucharadita de bicarbonato de sodio, ½ cucharadita de sal, 3 plátanos grandes, puré, ¾ taza de azúcar blanca, 1 huevo, ? taza de mantequilla, derretida",194,32,3,6,17,1
584,Batido de plátano de mantequilla de maní,"2 plátanos, divididos en trozos, 2 tazas de leche, ½ taza de mantequilla de maní, 2 cucharadas de miel o para saborear, 2 tazas de hielo cubitos",359,34,13,19,25,4
585,El rico pan de plátano de Janet,"1 taza de azúcar blanca, ½ taza de mantequilla, derretida, 2 huevos, 1 cucharadita de extracto de vainilla, 1 ½ tazas de harina para todo uso, 1 cucharadita de bicarbonato de sodio, ½ cucharadita de sal, ½ taza de crema agria, ½ taza de nueces picadas, 2 plátanos medianos, plátanos medianos, rebanado",300,36,3,16,0,1
586,Platanos al estilo Foster,"¼ de taza de mantequilla, ? taza de azúcar morena oscura, 3 ½ cucharadas de ron, 1 ½ cucharaditas de extracto de vainilla, ½ cucharadita de canela molida, 3 plátanos, pelado y en rodajas a lo largo y transversal, ¼ de taza de nueces picadas, 1 pinta de vainilla",528,73,5,24,61,3
587,Pastel de crema de banana,"¾ taza de azúcar blanca, ? Taza de harina para todo uso, ¼ cucharadita de sal, 2 tazas de leche, 3 yemas de huevo, batidas, 2 cucharadas de mantequilla, 1 ¼ cucharaditas de extracto de vainilla, 1 (9 pulgadas) concha de pastel horneada, enfriado, 4 plátanos, rebanado",307,47,5,11,30,2
588,Muffins de avena de plátano,"1 ½ cups unbleached all-purpose flour, 1 cup rolled oats, ½ cup white sugar, 2 teaspoons baking powder, 1 teaspoon baking soda, ½ teaspoon salt, 1  egg, ¾ cup milk, ? cup vegetable oil, ½ teaspoon vanilla extract, 1 taza de puré de plátanos",208,30,4,8,12,2
589,Pan de nuez de plátano extremo 'ebnb',"2 tazas de harina para todo uso, 2 cucharaditas de bicarbonato de sodio, 1 cucharadita de sal, 2 tazas de azúcar blanca, 1 taza de mantequilla, suavizado, 2 tazas de plátanos neverlipas, 4 huevos grandes, batidos, 1 taza de nueces picadas",240,30,3,12,19,1
590,Muffins de plátano definitivos,"1 ½ tazas de harina para todo uso, 1 cucharadita de hornear en polvo, 1 cucharadita de bicarbonato de sodio, 1 cucharadita de canela molida, ½ cucharadita de sal, 1 nuez moscada de molido, 3 plátanos (trabajo maduro o muy maduro), ½ taza de azúcar blanca, ? ? ? ? ? ? ? taza de azúcar mantequilla, derretida, ¼ taza de azúcar morena ligeramente empaquetada, 1 huevo grande, 1 cucharadita de extracto de vainilla, ¼ de taza de nueces picadas (opcionales)",199,31,3,7,15,2
591,Muffins de migas de plátano,"1 ½ tazas de harina para todo uso, 1 cucharadita de bicarbonato de sodio, 1 cucharadita de hornear en polvo, ½ cucharadita de sal, 3 plátanos, puré, ¾ taza de azúcar blanca, ? taza de mantequilla, derretido, 1 huevo, ligeramente batido",268,46,3,8,27,2
592,Pastel de platano,"1 ½ tazas puré de plátanos, 2 cucharaditas de jugo de limón, 3 tazas de harina para todo uso, 1 ½ cucharaditas de bicarbonato de sodio, ¼ cucharadita de sal, 2 ? tazas de azúcar blanca, ¾ taza de mantequilla, 3 huevos, 2 buqueas extracto de vainilla, 1 ½ tazas de suministro de umbilios",458,69,5,18,50,1
593,CHOCHOCKE BANANA DE PANUT MANTERA DE PEANUT Shake,"6 cubitos de hielo, 1 taza de leche, 1 plátano, 1 cucharada de proteína con sabor a chocolate en polvo, 2 cucharadas de mantequilla de maní, 1 cucharada de miel, 1 cucharadita de cacao sin azúcar o más al gusto",599,67,31,23,46,6
594,Batido de frutas y yogurt,"1 taza de fresas, 1 plátano, ½ taza de yogurt, ¼ taza de jugo de piña, 1 ½ cucharaditas de azúcar blanca, 1 cucharadita de jugo de naranja, 1 cucharadita de leche",153,31,5,1,22,3
595,Pudín de plátano,"1 (8 onzas) Cheese de crema de paquete, a temperatura ambiente, 1 (14 onzas) lata de leche condensada endulzada, 1 (5 onzas) paquete de budín de vainilla instantáneos, 3 tazas de leche escrita fría, 1 cucharadita de extracto de vainilla, 1 (8 onzas) Container congelado batido, descongelado, ½ (12 onzas) PAQUETES DE VERILLA, 4 plátanos, en rodajas",383,55,7,15,37,1
596,Batido de desayuno de avena de fresa,"1 taza de leche de soja, ½ taza de avena enrollada, 14 fresas congeladas, 1 plátano, roto en trozos, 1 ½ cucharaditas de azúcar blanca (opcional), ½ cucharadita de extracto de vainilla (opcional)",148,21,7,4,0,3
597,Pastel de plátano de number-1,"2 ½ tazas de harina para todo uso, 1 cucharada de bicarbonato de sodio, 1 sal pizca, 1 taza de azúcar blanca, ¾ taza de azúcar morena clara, ½ taza de mantequilla sin sal, ablandado, 2 huevos, 4 plátanos maduros, puré, ? taza de suero de leche, ½ taza nueces picadas",356,56,6,12,31,2
598,Pan de crema agria de plátano,"3 ¼ tazas de azúcar blanca, dividida, 3 cucharaditas de canela molida, dividida, ¾ taza de mantequilla, 6 plátanos muy maduros, puré, 1 (16 onzas) crema agria del recipiente, 3 huevos, 2 cucharaditas de extracto de vainilla, 4 ½ tazas de harina para todo el uso , 3 cucharaditas de bicarbonato de sodio, ½ cucharadita de sal, 1 taza de nueces picadas (opcionales)",266,40,4,10,23,1
599,El mejor pan de plátano,"1 taza de azúcar blanca, ½ taza de margarina, ablandado, 2 huevos, 1 ½ tazas de plátano, 2 tazas de harina para todo uso, 1 cucharadita de bicarbonato de sodio",199,31,3,7,16,1
600,Spinach y Banana Power Smoothie,"1 taza de leche de soya lisa, ¾ taza de hojas de espinacas frescas llenas, 1 plátano grande, en rodajas",273,47,10,5,26,6
601,Batido de frutas básicas,"1 cuarta de cuartos de galón, con cascos, 2 duraznos frescos: pelados, picados y en rodajas, 1 plátano, roto en trozos, 2 tazas de hielo, 1 taza",133,29,2,1,20,4
602,Pastel de división de plátano de estilo sur,"2 tazas de migas de galletas Graham, ¾ taza de azúcar blanca, ¼ libra de mantequilla, derretida, 2 (8 onzas) paquetes de queso crema, 1 ½ tazas de azúcar de confitores, 4 plátanos, en rodajas, 1 (15 onzas) puede triturar piña, drenado, 1 (16 onzas) Container congelado batido, descongelado, 1 (16 onzas) jarras de marrascino, drenado, 12 onzas de maní triturado",778,79,12,46,51,4
603,Muffins de plátano de chocolate,"1 ½ tazas de harina para todo uso, ¼ de taza de cacao sin azúcar en polvo, 1 ½ cucharaditas en polvo para hornear, ½ cucharadita de bicarbonato de sodio, ½ cucharadita de sal, ½ taza de azúcar blanca, ½ taza de aceite de canola, ¼ taza de leche, 1 huevo, 1 cucharadita de extracto de vanilla , 2 plátanos grandes muy maduros, puré, ¾ mini chips de chocolate semidulce",210,27,3,10,12,2
604,Muffins veganos de plátano,"3 tazas de harina para todo uso, 1 taza de azúcar blanca, ½ taza de azúcar morena, 2 cucharaditas de canela molida, 2 cucharaditas de horno en polvo, 1 cucharadita de bicarbonato de sodio, 1 cucharadita Aceite, 1 taza de leche de coco",459,59,4,23,30,2
605,Batido de piña y plátano,"4 cubitos de hielo, ¼ piña fresca: pelada, con núcleo y en cubos, 1 plátano grande, cortado en trozos, 1 taza de piña o jugo de manzana",337,79,3,1,53,6
606,Muffins de pan de plátano de Sarah,"1 taza de azúcar blanca, ½ taza de aceite vegetal, 1 huevo grande, 3 plátanos maduros, puré, ¼ de taza de nueces picadas, 2 tazas de harina para todo uso, 1 cucharadita de bicarbonato de sodio, ½ cucharadita de sal",280,40,3,12,20,2
607,Freidora de aire asado plátanos,"1 plátano, cortado en diagonales de 1/8 de pulgada de espesor, pulverización de cocción de aceite de aguacate",121,27,1,1,14,3
608,Galletas de platano y chocolate,"2 ½ tazas de harina para todo uso, 2 cucharaditas en polvo de hornear, ½ cucharadita de sal, ¼ cucharadita de bicarbonato de sodio, 1 taza de azúcar blanca, ? taza de mantequilla, suavizado, 1 taza de plátanos, 2 huevos, 1 cucharadita de extracto de vainilla, 2 tazas de chocolate semisreve de chocolate. papas fritas",289,39,4,13,23,2
609,Las mejores mini muffins mini banana,"  Spray de cocción, 1 ½ tazas de harina para todo uso, 1 cucharadita de polvo de hornear, 1 cucharadita de bicarbonato de sodio, 3 plátanos, puré, ¾ taza de azúcar blanca, ? taza de mantequilla derretida, 1 huevo, batido",54,8,1,2,4,0
610,Budín de plátano casero,"? Copa de azúcar blanca, ? Copa de harina para todo uso, ¼ cucharadita de sal, 3 huevos, batidos, 2 tazas de leche, 2 cucharadas de mantequilla, ablandado, ½ cucharadita de extracto de vainilla, 2 plátanos, pelados y en rodajas, ½ (12 outas) paquete de vainilla galletas de obleas",672,91,14,28,46,3
611,Pan de calabaza de plátano,"2 plátanos maduros, puré, 1 ? tazas puré de calabaza enlatada, ½ taza de miel, ½ taza de azúcar blanca, ? taza de aceite vegetal, 2 huevos grandes, 2 ½ tazas de harina de uso múltiple, 2 cucharaditas 1 cucharadita de bicarbonato de sodio, 1 cucharadita de canela molida, ½ cucharadita de sal, ¾ taza de pasas (opcional), ½ taza de nuez (opcional)",343,56,5,11,30,3
612,Pan de plátano: pan rápido para máquinas,"2 plátanos, pelados y a la mitad a lo largo, 2 tazas de harina para todo uso, ¾ taza de azúcar blanca, 2 huevos grandes, 3 cucharadas de aceite vegetal, 1 cucharadita de horno en polvo, ½ cucharadita de bicarbonato de sodio",221,40,4,5,18,1
613,Platanos fritos,"2 plátanos, puré, ½ taza de leche, 2 tazas de harina para todo uso, 3 cucharaditas en polvo para hornear, ½ cucharadita de sal, 2 huevos, batidas, 1 cucharada de margarina, derretido, 1 litera de aceite vegetal para freír, ½ taza de azúcar de los confectores, o azúcar de los confectores, o azúcar o azúcar según sea necesario",415,53,8,19,16,2
